age,workclass,education,marital-status,occupation,relationship,race,gender,income_>50K
31,Private,Bachelors,Married-civ-spouse,Adm-clerical,Wife,White,0,0
52,Local-gov,HS-grad,Divorced,Tech-support,Unmarried,White,1,1
30,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0
56,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Wife,White,0,1
45,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,1,1
55,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,1,0
37,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,1,1
41,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,1,1
26,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,1,1
20,Private,10th,Never-married,Handlers-cleaners,Own-child,White,1,0
24,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,0,0
45,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Husband,White,1,1
29,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,0,1
27,Private,Some-college,Never-married,Other-service,Own-child,White,1,0
44,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,1,1
51,Private,Bachelors,Never-married,Sales,Not-in-family,White,1,1
34,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,Own-child,White,1,0
54,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,1,1
54,Private,Bachelors,Never-married,Other-service,Own-child,Black,0,0
39,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,Black,0,0
39,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,1,1
49,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,1,0
39,Local-gov,Bachelors,Separated,Prof-specialty,Not-in-family,Black,1,0
38,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,1,1
25,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,0,0
42,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,0,1
35,Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,1,1
60,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Wife,Black,0,0
31,Private,11th,Married-civ-spouse,Farming-fishing,Husband,White,1,1
31,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,1,1
40,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,1,1
56,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,1,1
17,Private,11th,Never-married,Sales,Own-child,White,1,0
47,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,1,1
24,Private,Bachelors,Never-married,Other-service,Not-in-family,White,1,0
52,State-gov,Masters,Divorced,Prof-specialty,Not-in-family,White,0,0
36,Self-emp-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,1,0
40,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,1,1
57,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,1,1
58,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,1,1
40,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,1,1
34,State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,0,1
51,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,1,0
53,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,1,0
60,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,1,1
27,Private,Bachelors,Never-married,Sales,Not-in-family,White,0,0
30,Private,Some-college,Separated,Adm-clerical,Not-in-family,White,0,0
45,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,1,1
54,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,1,0
36,Private,Masters,Married-civ-spouse,Sales,Husband,White,1,1
53,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,1,1
51,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,0,0
31,Private,HS-grad,Never-married,Farming-fishing,Not-in-family,White,1,0
21,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,0,0
37,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,1,1
35,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Farming-fishing,Husband,White,1,0
43,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,1,1
24,Private,Assoc-voc,Never-married,Other-service,Own-child,White,0,0
48,Private,HS-grad,Divorced,Other-service,Unmarried,White,0,0
52,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,1,1
39,State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,1,1
32,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,0,0
17,Private,10th,Never-married,Other-service,Own-child,Black,1,0
39,Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,White,1,0
25,Private,HS-grad,Never-married,Sales,Not-in-family,White,1,0
22,Private,10th,Never-married,Craft-repair,Other-relative,White,1,0
38,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,1,1
35,Private,HS-grad,Never-married,Transport-moving,Own-child,White,1,0
21,Private,Some-college,Never-married,Other-service,Own-child,White,0,0
58,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,0,1
41,Private,HS-grad,Divorced,Handlers-cleaners,Unmarried,White,1,0
36,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,1,0
53,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,1,1
54,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,1,1
37,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,1,0
36,Private,Assoc-acdm,Never-married,Tech-support,Not-in-family,Black,1,1
27,Private,HS-grad,Never-married,Other-service,Unmarried,Black,0,0
39,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,0,1
24,Private,Assoc-voc,Married-civ-spouse,Other-service,Husband,White,1,0
51,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,1,1
49,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,1,1
60,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,1,1
32,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,1,1
28,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,0,0
57,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,0,0
20,Private,HS-grad,Never-married,Exec-managerial,Unmarried,Black,0,0
54,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,1,1
46,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,1,1
45,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,1,0
57,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,1,0
41,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,1,1
28,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Black,1,0
44,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,1,1
38,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,1,1
39,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Black,1,1
43,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,1,1
19,Self-emp-not-inc,Some-college,Never-married,Other-service,Own-child,White,0,0
58,Private,Bachelors,Widowed,Exec-managerial,Unmarried,White,0,0
27,Private,Bachelors,Never-married,Sales,Not-in-family,White,1,1
22,Private,11th,Never-married,Sales,Unmarried,White,0,0
52,Private,HS-grad,Never-married,Other-service,Unmarried,White,1,0
30,Private,HS-grad,Never-married,Sales,Not-in-family,White,0,0
49,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,1,1
29,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,1,1
54,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,1,1
28,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,0,0
30,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,1,0
51,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,White,1,0
45,Private,HS-grad,Married-civ-spouse,Prof-specialty,Wife,White,0,0
38,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,1,0
37,Private,HS-grad,Never-married,Sales,Not-in-family,White,1,0
45,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,1,0
21,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Other,1,0
33,Private,HS-grad,Never-married,Transport-moving,Not-in-family,White,1,0
59,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,1,1
53,Private,HS-grad,Divorced,Other-service,Unmarried,Black,0,0
37,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,1,1
19,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,1,0
19,Private,HS-grad,Never-married,Craft-repair,Other-relative,White,1,0
37,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,1,1
55,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,1,1
59,Private,Bachelors,Married-civ-spouse,Adm-clerical,Wife,White,0,0
40,Private,10th,Married-civ-spouse,Exec-managerial,Husband,White,1,1
40,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,1,0
51,Private,Masters,Married-civ-spouse,Tech-support,Husband,White,1,1
32,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,0,1
33,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Farming-fishing,Husband,White,1,0
57,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,1,1
31,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,1,1
52,Private,Masters,Divorced,Prof-specialty,Unmarried,White,1,1
36,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,1,1
17,Private,HS-grad,Never-married,Other-service,Own-child,White,1,0
35,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,1,1
34,Private,HS-grad,Never-married,Transport-moving,Unmarried,Black,1,0
56,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,1,1
21,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,0,0
33,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,1,1
39,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,1,1
44,Federal-gov,Some-college,Never-married,Adm-clerical,Not-in-family,White,1,1
40,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,1,1
59,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,1,1
47,Private,Bachelors,Widowed,Craft-repair,Unmarried,Black,0,0
43,Self-emp-not-inc,Bachelors,Divorced,Prof-specialty,Unmarried,White,1,0
36,Private,Assoc-voc,Divorced,Adm-clerical,Unmarried,Black,0,0
22,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,1,0
43,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,1,1
38,Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,White,1,1
54,Self-emp-not-inc,Bachelors,Widowed,Sales,Unmarried,White,1,0
58,Federal-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,1,0
29,State-gov,HS-grad,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,1,0
55,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,1,0
35,Private,Some-college,Widowed,Adm-clerical,Unmarried,White,0,0
37,Self-emp-not-inc,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,1,1
45,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,1,0
49,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,1,1
41,Private,HS-grad,Separated,Machine-op-inspct,Unmarried,White,0,0
39,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,1,1
59,Private,HS-grad,Widowed,Machine-op-inspct,Not-in-family,Black,0,0
36,Private,Some-college,Divorced,Machine-op-inspct,Own-child,Other,1,0
32,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,1,1
36,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,1,1
35,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,1,1
43,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,1,0
39,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,1,1
49,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,White,1,1
25,Private,HS-grad,Separated,Craft-repair,Own-child,White,1,0
54,Private,Some-college,Never-married,Other-service,Not-in-family,White,0,0
43,Private,Bachelors,Married-civ-spouse,Handlers-cleaners,Husband,Black,1,1
35,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,1,1
24,Private,Some-college,Never-married,Exec-managerial,Own-child,White,1,0
34,Local-gov,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,1,1
37,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,1,0
36,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,1,1
25,Private,Some-college,Never-married,Adm-clerical,Other-relative,White,0,0
43,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,1,1
36,Private,11th,Married-civ-spouse,Exec-managerial,Husband,White,1,0
39,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,1,1
22,Private,Some-college,Never-married,Tech-support,Own-child,White,1,0
38,Private,10th,Married-civ-spouse,Craft-repair,Husband,White,1,1
43,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,Black,1,0
30,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Wife,White,0,1
33,Private,Bachelors,Never-married,Sales,Not-in-family,White,1,1
17,Private,11th,Never-married,Sales,Own-child,White,1,0
35,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,1,1
34,Private,HS-grad,Never-married,Craft-repair,Unmarried,White,1,0
38,Private,Some-college,Never-married,Craft-repair,Own-child,White,0,0
41,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,1,1
40,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,1,1
31,State-gov,Masters,Divorced,Adm-clerical,Not-in-family,White,0,0
26,Private,Some-college,Never-married,Other-service,Own-child,Black,0,0
41,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,1,1
34,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,1,1
36,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,1,1
38,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,1,1
43,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,1,1
34,Self-emp-inc,HS-grad,Divorced,Sales,Not-in-family,White,0,0
34,Private,Some-college,Married-civ-spouse,Sales,Husband,White,1,1
42,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,1,1
40,Private,HS-grad,Divorced,Craft-repair,Not-in-family,Asian-Pac-Islander,0,0
50,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,1,1
50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,1,0
52,Private,Some-college,Married-civ-spouse,Tech-support,Husband,Black,1,1
25,Private,HS-grad,Never-married,Sales,Unmarried,White,0,0
20,Private,Some-college,Never-married,Prof-specialty,Own-child,White,1,0
24,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,1,0
41,Self-emp-not-inc,Masters,Divorced,Sales,Unmarried,White,1,1
32,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Black,0,0
41,Private,Assoc-voc,Separated,Craft-repair,Not-in-family,White,1,0
47,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,1,1
41,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,1,1
21,Private,Some-college,Never-married,Sales,Own-child,White,1,0
26,Private,Bachelors,Divorced,Other-service,Not-in-family,White,0,0
47,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,1,1
35,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,1,0
47,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,1,1
54,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,1,0
29,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,1,1
55,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,1,1
47,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,1,0
48,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,1,0
36,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,1,1
45,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,1,1
23,Local-gov,Bachelors,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,0,0
39,Private,HS-grad,Never-married,Other-service,Not-in-family,White,0,0
39,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,1,1
39,Self-emp-not-inc,10th,Married-civ-spouse,Transport-moving,Husband,White,1,0
46,Self-emp-not-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,1,1
33,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,1,0
24,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,0,0
49,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,1,0
25,State-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,0,0
42,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,Husband,White,1,1
21,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,0,0
34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,1,1
37,Self-emp-not-inc,Some-college,Divorced,Exec-managerial,Unmarried,White,0,0
40,Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,1,1
40,Private,11th,Widowed,Adm-clerical,Unmarried,White,0,0
28,Private,HS-grad,Never-married,Transport-moving,Own-child,White,1,0
47,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,1,1
29,Private,Bachelors,Never-married,Tech-support,Not-in-family,White,1,0
46,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,1,1
34,State-gov,HS-grad,Married-civ-spouse,Tech-support,Husband,White,1,1
33,Private,Assoc-voc,Divorced,Sales,Not-in-family,White,1,0
55,Self-emp-not-inc,Masters,Divorced,Exec-managerial,Not-in-family,White,0,0
22,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,1,0
26,Private,HS-grad,Divorced,Sales,Unmarried,White,0,0
22,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,1,0
53,Private,10th,Divorced,Craft-repair,Not-in-family,White,1,0
22,Private,HS-grad,Never-married,Other-service,Own-child,White,0,0
24,Private,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,1,1
19,Private,HS-grad,Never-married,Other-service,Own-child,White,0,0
25,State-gov,Some-college,Never-married,Handlers-cleaners,Own-child,White,1,0
37,Federal-gov,Assoc-acdm,Divorced,Exec-managerial,Unmarried,Black,0,0
52,Private,HS-grad,Divorced,Transport-moving,Unmarried,White,1,0
33,Self-emp-inc,Masters,Married-civ-spouse,Craft-repair,Husband,White,1,0
37,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,1,0
32,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,1,1
39,Self-emp-not-inc,Masters,Never-married,Prof-specialty,Not-in-family,White,1,0
25,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,1,0
24,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,1,0
58,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,1,1
36,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,1,1
52,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,Black,1,1
45,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,1,1
47,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,1,1
28,Private,HS-grad,Never-married,Transport-moving,Not-in-family,White,0,0
29,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,1,1
50,Self-emp-not-inc,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,1,1
51,Self-emp-inc,Assoc-acdm,Never-married,Sales,Not-in-family,White,0,0
20,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,1,0
37,Private,Bachelors,Never-married,Prof-specialty,Own-child,Amer-Indian-Eskimo,1,1
47,Private,Masters,Divorced,Sales,Not-in-family,White,1,1
29,Private,HS-grad,Never-married,Other-service,Other-relative,Black,0,0
47,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,1,0
42,Federal-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,1,1
24,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,1,0
37,Local-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,1,1
48,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,1,1
23,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,0,0
19,Private,10th,Never-married,Craft-repair,Not-in-family,White,1,0
23,State-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,White,1,0
52,Private,Bachelors,Married-civ-spouse,Sales,Wife,White,0,1
33,Local-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,1,1
24,Private,Assoc-acdm,Never-married,Handlers-cleaners,Own-child,White,1,0
49,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,1,1
26,Private,HS-grad,Never-married,Craft-repair,Own-child,White,1,0
45,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,1,0
37,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,0,1
27,Private,Masters,Married-civ-spouse,Adm-clerical,Wife,White,0,1
26,Local-gov,Bachelors,Never-married,Prof-specialty,Own-child,White,0,0
39,Local-gov,HS-grad,Never-married,Adm-clerical,Own-child,White,0,0
50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Wife,White,0,1
43,Private,10th,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0
39,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,1,0
31,Private,Some-college,Divorced,Prof-specialty,Not-in-family,White,0,0
34,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,White,0,1
48,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,1,1
31,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,1,1
33,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,1,0
40,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,1,1
27,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,0,0
45,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,1,1
48,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,1,1
40,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,1,1
